1 5 9
3 2 8
4 2 1
9 9 6
9 5 3
11 7 6
16 4 3
26 7 8
26 7 8
27 7 5
30 2 8
42 10 6
47 9 10
50 3 10
51 8 9
51 4 2
51 6 2
52 9 10
56 5 7
57 6 8
64 2 9
65 6 3
66 9 10
71 6 7
75 6 10
75 6 2
78 10 1
87 4 6
91 7 10
91 9 4
92 8 9
93 8 10
104 5 6
109 9 1
114 9 10
114 3 1
116 6 7
131 8 9
131 10 5
138 1 8
145 9 10
146 2 7
146 5 1
150 1 5
154 1 2
156 1 9
164 4 1
165 8 10
169 5 9
171 8 6
175 2 1
178 10 2
178 8 2
185 3 2
187 7 4
188 9 10
196 1 10
197 1 3
198 4 5
200 5 7
201 3 1
202 5 8
203 8 10
205 1 10
205 2 4
211 8 9
213 9 2
219 4 6
220 3 10
224 9 10
225 6 9
229 7 9
237 8 10
243 4 6
247 5 2
248 5 3
249 8 10
249 9 10
249 8 4
250 1 10
250 9 2
251 6 10
254 9 7
261 8 5
262 7 2
268 2 1
270 4 8
271 9 10
272 2 8
276 9 2
277 3 2
277 3 1
283 5 7
284 5 9
285 2 1
287 2 9
293 2 1
294 8 10
294 8 4
299 8 9
